en	ha
Day time.##bed,bed,cup,chair,bottle,chair,bottle,cup,cup,bottle	Da rana.
Blonde.##person,cell phone,person	Jan gashi
What color is the keyboard?##chair,chair,keyboard,toilet,chair	Menene launin keyboard ɗin?
What color is the little girl's dress?##person,person,person,person,person,person,person,person,person,handbag	Menene launin rigar ƙaramar yarinyar?
The cat on the back of the chair.##cat,cat,cat,cat,cat,chair,couch,cat	Magen da take bayan kujerar.
White.##horse,person,car,person,person,person,car,person,umbrella,person	Fari.
How many people have on hats?##person,person,frisbee,person,person,frisbee	Mutane nawa ke da hula?
When riding.##person,surfboard	Lokacin hawan.
Daytime.##person,person,car,person,person,person,truck,car,person,person	Da rana.
Where is this picture taken?##bed,bed	A ina aka ɗauka wannan hoton?
When is this guy going to?##snowboard,person	Yaushe wannan gayen zaije?
What is the woman doing?##person,cake,microwave,bowl,bottle,knife,knife,spoon,book,oven	Me matar takeyi?
What time is it?##bench,boat,boat,boat,boat,boat,boat,boat,boat,boat	Wanne lokaci yanzu?
Window sill.##sink,potted plant,wine glass,cup,wine glass,cup,wine glass,potted plant,wine glass,cup	Kusa da taga.
White.##person,person,kite,kite	Fari.
The child.##cell phone,person,person,person	Yaron.
What is the elephant holding?##elephant	Me giwar take riƙe dashi?
Why are there poles next to the building?##bicycle,bicycle,person,potted plant	Meyasa akwai ƙarafuna a kusa da ginin?
What color is the water?##bird,boat	Menene launin ruwan?
What is the landing area often called?##airplane,airplane,truck,airplane,truck,person,airplane,sports ball	Me ake yawan kiran wajan saukar?
Gold and cream.##clock,chair	Ruwan gwal da ruwan madara
Where was this photo taken?##giraffe,giraffe,giraffe	A ina aka ɗauka wannan hoton?
When will the sun come out?##person,surfboard,person,surfboard	Da yaushe rana zata fito?
Why is this picture taken?##traffic light,car,car,car,car,car,microwave,tv,person,tv	Meyasa aka ɗauki hoton?
How many people are there?##person,bicycle,person,skateboard,backpack,sports ball,backpack	Nawa ne adadin mutane a gurin?
What is the kite flying over?##kite,person,person,person,person,person,person,person,kite,person	A kan me jirgin ledar yake tashi?
Two.##person,remote,person,person,remote,person,person,couch,couch,couch	Biyu.
When was this taken?##person,person,bed,bed,remote,cell phone	Yaushe aka ɗauki wannan hoton?
What is the weather?##person,person,kite,person,bicycle	Ya yanayi garin yake?
How many of the dogs legs can you see?##dog	ƙafafun Karen nawa kake iya gani?
What kind of linoleum is this?##toilet,sink,sink,hair drier	Wani irin linoleum ne wannan?
What color are the car seats?##teddy bear,teddy bear,chair,car,chair,chair,chair	Menene launin kujerun motar?
Where are the boats?##boat,boat,boat,person,boat,boat,boat,boat,boat,boat	Ina jiragen ruwa?
Papers.##cat,book,book,book,dining table,dining table,chair,bowl	Takardu
What is the white cord on the bed?##scissors,laptop,bed,apple	Menene farar igiyar kan gadon?
Daytime.##zebra,cow,cow	Da Rana.
White paper.##kite,kite,kite,boat,kite,kite,kite,kite,kite,kite	Farar takarda.
Where is the red transit bus?##bus,car,person,person,traffic light,person	Ina jar bas mai jigila?
2##motorcycle,person,person,person,person,cow,car,person,car,frisbee	2
1##person,bench,skis,bicycle,book,clock,book	1
Daytime.##person	Da rana.
Wood.##oven,apple,dining table,bowl,apple,apple,apple,apple	Katako.
Dog.##dog,bed,couch,couch	Kare.
On counter.##sink,cat,potted plant,cup,bottle,potted plant,potted plant,cup,sink,cup	Akan tebur.
What is behind the woman?##person,person,tie,chair,potted plant,chair	Mene a bayan matar?
What color are the person's pants?##horse,person,person	Menene launin wandon mutumin?
Black top.##person,person,person,person,person,person,person,person,person,person	Baƙar riga.
Red.##person,motorcycle,person,frisbee	Ja.
Woman on right.##person,person,frisbee,frisbee	Matar da ke dama.
What is the smaller elephant doing?##elephant,elephant	Me ƙaramar giwar ke yi?
What is the woman in the lower right corner doing?##person,person,person,person,person,person,person,person,person,person	Me matar da ke daga dama a ƙasa ke yi?
Why put a clock on a tower?##clock,clock,umbrella	Meyasa zaa saka agogo akan hasumiya?
How many big trees are there?##bus,bus,fire hydrant,car	Nawane adadin bishiyoyi manya a gurin?
Blue.##cat	Shuɗi.
When is this scene taking place?##person,person,person,person,frisbee,person,person,person,person,person	Dayaushe wannan lamarin ke faruwa?
What is seen in the picture?##person,cup,tie,dining table	Me aka gani a cikin hoton?
Black and white cat.##potted plant,cat,vase,dog,cat,broccoli	Mage mai Baƙi da fari
What is the animals doing?##bear	Me dabbobin sukeyi?
Four.##chair,orange,orange,dining table,orange,orange,bowl,orange,chair,orange	Huɗu.
One of the players.##person,person,tennis racket,tennis racket,sports ball,person,tennis racket	ɗaya daga cikin yan wasa.
Near railroad station.##train,person,traffic light,traffic light,person,stop sign,person	Kusa da tashar jirgin ƙasa.
Green trees.##frisbee,traffic light,person	Korayen bishiyoyi.
What are people in the front doing?##person,umbrella,person,person,person,umbrella,person,person,umbrella,person	Me mutanen da suke gaba sukeyi?
Bread.##person,chair,dining table,cell phone,cup,donut,donut,donut,knife,cup	Burodi.
Green.##refrigerator,refrigerator	Kore.
Where is the white mold?##sandwich	Ina farar hunhunar?
His collar.##dog	kwalar sa.
An animal in water.##bear	Dabba a cikin ruwa.
Where is the fence?##sheep,sheep,sheep,sheep,sheep,sheep,elephant,sheep	Ina dangar?
What is in the photo?##toilet,chair	Menene a jikin hoton?
What is being flown?##person,person,person,person,person,person,person,person,person,handbag	Me ake tasharwa?
On a towel-covered table.##person,cat,teddy bear,bed,tie,bed	Akan tebur mai rufe da tawul.
How many feet are there?##teddy bear,bed,teddy bear,person,teddy bear,book,bed,book	Nawane adadin ƙafafu a gurin?
Doorstep.##dog,cat	Bakin ƙofa.
One.##person,refrigerator,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle	ɗaya.
What is the mug's color?##cup,person,fork,dining table,broccoli,cup,broccoli,broccoli,pizza,cup	Menene launin kofin tangaran ɗin?
White.##clock	Fari
Parking lot.##truck,car,car,person,person,chair	A wurin parking.
Two.##person,person,car,person,car,car,car,car,bench,car	Biyu.
Daytime.##boat,boat	Da rana.
What are the dogs standing on/ near?##motorcycle,dog,dog,cat	A kan/kusa da me karnunan suke tsaye?
One.##cell phone	Ɗaya.
Plantains.##person,person,person,bottle,cup,backpack,person,chair,dining table,hot dog	Agada.
Why is the toilet water running?##toilet,toilet,sink	Meyasa ruwan masan yake fitowa?
Black.##person,skis	Baƙi.
What color is the table?##donut,donut,donut,knife,pizza,donut,donut,book,book,book	Mene launin tebur din?
What is this?##zebra,cow,cow	Menene wannan?
Daytime.##bottle,bottle,knife,vase,vase,sink,bottle,knife,potted plant,cup	da rana.
What color are the cabinets?##oven,bottle,microwave,dining table,sink,sink,book,vase	Menene launin kwabar?
Where are the hooves?##horse	Ina kofato suke?
A t-shirt and shorts.##person,dog,horse	Riga da gajeran wando.
What is the plane doing?##clock	Me jirgin saman yake yi?
What is the weather?##person,traffic light,person,person,person,person,bicycle,person,person,person	Ya yanayi yake?
No one.##cat,car	Babu kowa.
Why can't we see the smaller elephant's left eye?##elephant,elephant	Meyasa bama iya ganin idon hagun ƙaramar giwar?
What is on top of the drink?##cup,dining table,person,spoon,book,spoon,dining table,sandwich,person,person	Menene akan abun shan?
In water.##cow,cow,cow	A ruwa.
What animal is he milking?##person,cow,tie,tie,horse	Wace dabba yake tatsa?
Surfboard.##person,surfboard,person,surfboard	Allon hawan igiyar ruwa.
On the garbage can.##toilet	A kan kwandon shara.
Blue.##clock	Shuɗi.
Down.##person,person,chair,pizza,dining table,person,carrot,bowl,chair,bowl	ƙasa.
What's the color of the table?##bottle,wine glass,dining table,person,carrot,carrot,cup,carrot,carrot,bottle	Mene launin tebur din?
Day time.##person,person,snowboard,snowboard,backpack,skis,person,skis	Da rana.
One.##bed,dog	Ɗaya.
Black.##bird	Baƙi.
A motorcycle.##motorcycle,person,person,person,dog,dog	Babur.
What is this person doing?##person,surfboard	Me mutumin ke yi?
What color is the pole?##traffic light	Menene launin ƙarfen?
Eating grass.##zebra,zebra,person,zebra,person,frisbee,horse,person,car	cin ciyawa.
Where is the picture?##person,car,person,horse,bicycle,umbrella,person,person,person,umbrella	A ina ne hoton?
What sport is being played?##person,tennis racket,person,person,sports ball,person,person,person,person,person	Wani wasa akeyi?
How man men are in the picture?##person,person,banana,chair,banana,banana,banana,banana,banana,chair	Maza nawa na a hoton?
Sun.##person,person,pizza,person,dining table,wine glass,person,person,knife,elephant	Rana.
A cat.##cat,bird	Kuliya.
How many cabinet doors are in the photo?##sink,refrigerator	ƙofofin kwaba guda nawa ne a hoton?
The bench.##person,person,bench,handbag,bench,chair,bench,bench	Benci.
The trains.##train,person,person,person,person,person,person,train,person,person	Jiragen ƙasan.
Where is the white umbrella?##person,kite,person,kite,kite,kite,kite,kite,umbrella,kite	Ina farar lemar take?
White.##person,baseball glove,person,person,person,person,person	Fari.
Wood.##cup,fork,bowl,dining table,spoon,person,sandwich,spoon,orange,hot dog	Katako.
What is the main color of the leaves?##kite,person,person,bird	Mene ainihin launin ganyayyakin?
Purple and white.##person,car,truck,car,car,truck,car,person,car,person	Purple da fari.
Gray.##person,tie,bowl,person,chair,tv,chair,bench	Ruwan toka.
Green.##cup,person,fork,dining table,broccoli,cup,broccoli,broccoli,pizza,cup	Kore.
Where is the ball?##person,tennis racket,clock,person,person,sports ball	Ina kwallon?
What are in the photo?##bed,horse,horse,tv,teddy bear,horse	Menene a cikin hotn?
Daytime.##person,skis	Da rana.
What is on the sidewalk?##suitcase,person,bench,bench,person,backpack	Menene a gefen hanya?
People.##bus,person,person,person,person,handbag,car,car,person,person	Mutane.
What does the man have on hands?##person,bicycle,baseball glove,airplane,remote	Me mutumin yake da shi a hannaye?
Cat.##cat,car,chair,chair	Mage.
What is between the camera and the bench?##bench,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella	Menene a tsakanin kamarar da bencin?
Five.##train	Biyar.
No one.##train,person,bicycle,bicycle,person,bicycle,bicycle,person,person,person	Babu kowa.
Bear.##bear,person	bear.
Where is the pillow?##cat,cat,couch,couch	Ina matashin kai yake?
What is the floor made of?##bed,person,person	Dame a kayi daɓen ƙasan?
1##car,car,car,car,car,car,car,person,car,truck	1
What white vegetable is chopped up on top of the weiners?##dining table,sandwich,bowl,sandwich,sandwich,apple	Wani farin kayan lambu ne a yanke akanweiners?
What is the hand holding?##cell phone,person,person,person	Me yake riƙe dashi a hannu?
Where is the lamp?##bed,remote,cell phone,remote	Ina fitular?
What is covering the person?##person,surfboard	Menene ya rufe mutumin?
What type of ground is the bench on?##person,bus,car,bench,truck,car,bench	A kan wani irin ƙasa kujerar ke kai?
Where is the white hat?##person,person,tennis racket,tennis racket	Ina farar hular?
Sign.##bus,bicycle,car,bicycle,bottle,backpack,car	Alama ce
How many people are in the picture?##spoon,bowl,bowl,dining table,cup,person,orange,cup,bowl,orange	Mutane nawa ne a hoton?
A road.##person,skateboard,surfboard,car,person,car	Titi.
A man.##cat,person,couch,laptop	Namijin.
Helmet.##person,person,person,person,person,person,person,person,person,skateboard	Hular kwano.
On a farm.##cow,cow,cow,cow,cow,cow,cow,cow,cow,cow	A gona.
How will the person enter the building?##car,traffic light,bus,person,person,traffic light,traffic light,car,traffic light,car	Ta ya mutum zai iya shiga ginin?
White.##airplane,person	Fari.
A satellite dish.##bus,frisbee	Tauraro dan adam.
Toothbrush.##cup,bottle,bottle,toothbrush,book,book,remote,bottle,book,bottle	Buroshin haƙori.
When was the photo set?##bear	Yaushe aka dauki hotan?
When was this taken?##person,bed	A yaushe aka ɗauki wannan?
When was the photo taken?##clock	Yaushe aka ɗauki hotan?
The white board sign.##car,traffic light,traffic light,person,traffic light,person,bicycle,car,car,traffic light	Farin alon alama.
What is on the woman's t-shirt?##person,tennis racket,person,tennis racket,person,chair,person,chair,chair,clock	Menene akan tishit din matan?
In a person's arms.##teddy bear,person,person,person,teddy bear,tie	A hannun mutum.
What is white in the sky?##zebra,zebra,zebra,zebra	Menene fari a sararin samaniya?
What is the cat's paws resting on?##cat,clock,book	Hannun magen akan me yake?
Blue.##orange,orange,bowl,orange,orange,orange,banana,orange,banana,banana	Shuɗi.
Where is the sheet?##bed,dog,dog,dog,bed,bed	Ina zanin gadon?
Why is the man wearing a jacket?##person,person,person,person,person,skis,snowboard,person,skis,person	Me yasa mutumin ke sanyi da kwat?
What condition are these Motorcycles in?##motorcycle,motorcycle,person,person,person,suitcase,car,truck,motorcycle	A wani yanayi waɗanne baburan suke ciki?
Zero.##person,tennis racket,tennis racket,tennis racket,sports ball	Sifili.
Why are.people sitting in the distance?##person,person,person,person,cell phone,person,cup,person,tv,dining table	Me yasa mutane suke a nesa?
What is in the boat?##boat,bird,boat,boat,chair	Menene a cikin jirgin ruwan?
What is the man holding?##person,cake,person,dining table,cell phone,fork,person,orange,orange,orange	Me mutumin yake riƙe dashi.
What color is the skateboard?##person,skateboard,person	Wanne launi ne sikebod din?
A woman.##person,kite,person,person,person,person,person,chair	Mata.
What is on the table?##chair,couch,cup,car,cup,laptop,tv,bottle,car,suitcase	Meye akan tebur?
Why is there a three on the side of the building?##train,person,person,person,person,person,person	Meyasa akwai uku a jikin gefen ginin?
What is the fence made out of?##bus,person,person	Daga me akayi shingen?
Four.##person,person,person,chair,handbag,chair,cell phone,car	Huɗu.
A table.##couch,person,tv,tv,tv,person,dining table,sandwich,scissors	tebur.
Who is holding umbrella?##umbrella,person,person,umbrella,person,person,person,train	Wake riƙe da lema?
What is behind the men?##person,person,tennis racket,sports ball	Menene a bayan mazan?
What does the zebra use to hear?##zebra,cow,bird	Me jakin dawo yake amfani dashi wajan ji?
What color is the sippy cup spout?##person,person,pizza,dining table,bottle,wine glass,cup	Menene launin bakin kofin yaran?
Eating.##pizza,cup,fork,person,person,knife,dining table,person	Cin abinci.
By vehicle.##person,person,person,cell phone,traffic light,clock,person,couch,person	Da abin hawa.
Red.##person,tie,person,orange	Ja.
Skiing.##person,person,person,person,person,person,car,car,car,person	Gudun ƙanƙara.
What is the man playing?##person,baseball glove	Wasan me mutumin yake?
What color is the girl's necklace?##person,cell phone,car,car,car,handbag,car,car,handbag,motorcycle	Wanne launi ce abin wuyan yarinyar?
How many eyes does the hydrant have?##person,fire hydrant	Idanuwa nawa famfon yake da shi?
What color is the umpire wearing?##person,person,person,person,person,person,baseball glove,person,person,person	Wani launi umpire yake sanye da?
A riot.##traffic light,car,person,person,person,car,car,traffic light,person,car	Tarzoma.
Where is the bridge?##person,person,kite,person,bicycle	Ina gadar?
Green.##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,giraffe	Koriya.
What is under the skateboard?##person,skateboard,surfboard,car,person,car	Mene a ƙasan siketbod?
Who is wearing a hat?##person,person,person,book,tie,bench,bench,tie,backpack,remote	Waye yake sanye da hula?
What is black?##bowl,banana,spoon,cup,banana,cup,dining table,cup,bowl,apple	Mene baƙi?
Under the person.##person,surfboard	A ƙarƙashin mutumin.
Cat.##cat	Mage.
What kind of day is it?##bird,bird	Wacce irin rana ce wannan?
Where is the boy in the blue shirt?##person,skateboard,person,person,person,person,person,skateboard,person,person	Ina yaran dake sanye da shuɗiyar riga?
A zebra.##zebra	Jakin dawa.
What is in the woman hand?##person,wine glass,person,dining table,person,cake,cup,person,dining table	Menene a hannun matar?
The person in black.##person,skateboard,person,skateboard,person	Mutumin da ya saka baƙi.
Where are wheels?##person,car,car,car,car,car,car,car,skateboard,car	Ina ƙafafun?
Green.##elephant,zebra	Kore.
A wall.##person	Bango.
Who is standing in front of the house?##clock	Waye yake tsaye a gaban gidan?
What color is the blanket at the end of the bed?##bed	Menene launin abun rufar a ƙarshen gadon?
What is in the background?##banana,banana,banana,banana,bird,laptop,baseball bat,banana,banana,person	Menene a ƙasan bayan?
What are the kids eating?##person,person,person,person,person,person,person,person,person,person	Me yaran suke ci?
Blue.##person,toothbrush	Shuɗi.
In the distance.##bicycle,bicycle,person,potted plant	A nesa.
Where was the picture taken?##refrigerator,oven,sink,book,oven,sink	A ina aka ɗauka hoton?
When was this photo taken?##person,person,person,person,truck,person,person,person,airplane,person	Yaushe aka ɗauki wannan hoton?
How many birds are flying?##bird,bird,frisbee	Tsuntsaye nawa ke tashi?
Above the food.##pizza,person,knife,pizza	A kan abincin.
Daytime.##person,person,pizza,person,dining table,wine glass,person,person,knife,elephant	Da rana.
Where are the people?##person,bench,bicycle,person,train,bench,bicycle,person,boat	Ina mutanen suke?
A man.##person,cat,teddy bear,bed,tie,bed	Mutumi.
A man.##airplane,person	Mutumi.
How is the condition of the wooden bench?##person,person,bench,person,bench,person,handbag,bench,bench,backpack	Yaya yanayin bencin katakon?
Jalapeno pepper.##person,pizza,bowl	Attaruhun jalapeno.
What can be seen through the windows?##spoon,bottle,sink,sink,spoon,bottle,sink,toilet,sink,cup	Me ake iya gani ta tagar?
What is the man doing?##person,person,person,bicycle,person,person,person,person,person,handbag	Me mutumin yake yi?
Lying in the water.##person,person,person,surfboard,surfboard	Kwance a cikin ruwan.
What is hanging on the woman's shoulder?##person,person,cell phone,cell phone	Menene rataye a kafaɗan matar?
What is the sofa color?##person,cell phone,vase,tv	Menene launin kujerar?
A train.##train,person,person,person,person,person,person	Jirgin kasa.
Fire hydrant.##fire hydrant,knife	Ruwan kashe wuta.
Boat.##person,person,person,person,dog,boat,suitcase,boat,dog,skateboard	Jirgin ruwa.
How is the weather that day?##person,tennis racket,tennis racket	Yaya yanayin a wannan ranar?
Two.##cow,cow,cow,cow,cow,cow,cow,cow,cow,cow	Biyu.
What type of body of water is shown?##bench,bench,bench,boat,boat,chair,bench	Mene irin ruwa ne aka nuna?
Left side of table.##car,bottle,cup,dining table,car,bowl,car,truck,car,cake	Daga hagun tebur din.
The street.##bus,person,truck,person,car,stop sign,person	A titi.
5718##train,traffic light	5718
What color is the cup that the little boy is holding?##person,tv,person,cup,remote,remote,remote,couch,suitcase,bottle	Mene launin moɗa da karamin yaron ke riƙe dashi.
Where are they sitting?##person,person,surfboard,surfboard,surfboard,bus,skis	A ina suke zaune?
What color is the grass?##sheep,sheep,sheep,sheep,cow,airplane,sheep,cow	Menene launin ciyawan?
Wood.##zebra,zebra	Katako.
Behind a building.##person,bicycle,car,person,car,person,potted plant,person	A bayan gini.
What is the primary color of the sign on the right?##stop sign,traffic light	Menene asalin launin allon shaidar dake gefen dama?
What hand is holding the pizza?##person,pizza,dining table,pizza,dining table	Wani hannu ne riƙe da pizza ɗin?
Daytime.##person,person,person,person,person,traffic light,person,person,traffic light,person	Da rana.
Who is visible?##car,person,umbrella,umbrella,car,backpack	Waye a ake iya gani?
1##sheep,sheep,sheep,bird	1
Why is there a pile of onion skins on the table?##knife,bowl,knife,frisbee,bottle,bowl,bowl	Meyasa akwai tarin ɓawon albasa a kan tebur ɗin?
Cat.##cat,bench	Mage.
What type of animal?##dog,bed,couch,couch	Wani irin dabba?
Laughing Cow.##bowl,bowl,sandwich,dining table,bowl,carrot,sandwich,orange,orange,orange	Laughing Cow.
To be seen.##clock,clock,clock	Saboda a gani.
What is the dog sitting on?##dog,bottle,bottle	Akan me karen yake zaune?
What ages of cattle are shown?##cow,boat,cow,cow,boat,person,boat,boat,boat,person	Menene shekarun shanun da aka nuna?
How many pillows can be seen on the beds?##bed,bed	Filallika nawa ake gani a kan gadon?
A man.##cow,person,person,person,person,person,person,person,backpack,backpack	Namiji.
What is in the middle?##bed	Menene a tsakiya?
Where is light coming from?##spoon,cup,oven,microwave,cup,spoon,sink,spoon	Ta Ina haske yake fitowa?
7:40##clock,clock	7:40
What is the vegetable portion?##sandwich,broccoli,broccoli,dining table,broccoli,broccoli,cup,broccoli,sandwich	Menene kashin ganyanyakin?
Fence.##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	Danga.
Brown.##laptop,person,bed,knife,bed,knife,cell phone,bed	Ruwan kasa.
Grazing.##cow,cow,cow,cow,cow,cow	Kiwo.
What color is the space shuttle?##airplane,airplane,airplane	Menene launin shuttle ɗin saman?
Parked along the curb.##car,car,car,car,car,car,car,car,car,car	A ajiye a gefen titin.
All the Vehicles are Older.##parking meter,person,car,car,person,parking meter,person,person,car,car	Duk ababen hawan tsaffi ne.
Feathers.##bird	Gashim tsuntsu.
Who is driving the train?##train,person,person	Wa yake tuƙa jirgin ƙasan?
512257 SAVE.##stop sign	512257 SAVE.
Toilet.##person,toilet	Mazaunin ban ɗaki.
Two.##person,motorcycle,person,person,person,bicycle,motorcycle,motorcycle,motorcycle,bicycle	Biyu.
During the day.##person,boat	Da rana.
Trees.##giraffe,giraffe,zebra,zebra,giraffe,zebra,giraffe,zebra,zebra,zebra	Bishiyoyi.
Burning.##person,bottle,person,wine glass,person,bottle,bottle,tie,bottle,tie	ƙonewa.
Why is giraffe there?##giraffe	Meyasa raƙumin dawan yake nan?
What kind of animal is in the photo?##elephant,elephant,elephant,elephant,elephant,person,person,person,elephant,person	Wacce irin dabba ce a cikin hoton?
When was this photo taken?##truck,car	Da yaushe aka ɗauki hoton?
Surfboards.##surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard	Abun hawa igiyar ruwa.
At a park.##person,person,person,kite,person,motorcycle,kite,person,person,kite	A lambu.
Where is the girl?##person,person,person,person,person,person,person,person,person,person	Ina yarinyar take?
How many people on the field are in red?##person,person,person,person,person,person,person,person,person,person	Mutane nawane a filin a cikin ja?
What would clean this ground?##car,toilet,truck	Menene zai tsaftace ƙasan nan?
What living thing is lining both sides of the road?##car,car,person,car,car,car,car,car,person,car	Wani abu mai rai ne suka jeru a duka gefen titin?
What is in the water?##person,person,bench,car,person,boat,boat,backpack,car,boat	Menene a cikin ruwan?
In man's right hand.##person,car,car,book,car,person,bench,bench	A hannun daman mutumin.
What is the structure made of?##bus,person,person,truck	Dame aka yi ginin?
What is the dirt?##horse,horse,horse,horse,horse,horse,person,person,person,person	Menene mai datti ?
What is the table made of?##cup,fork,bowl,dining table,spoon,person,sandwich,spoon,orange,hot dog	Dame akayi teburin?
Phone.##person,umbrella,umbrella,bench,person,backpack,bus,handbag	Waya.
Daytime.##person,person,boat,boat,person,boat,boat	Da rana.
Who is wearing glasses?##person,tie,tie,tie	Waye yake sanye da tabarau?
White.##boat,dog,person,chair,boat,person	Fari.
Daytime.##person,person,person,person,person,person,umbrella,handbag,handbag,person	Da rana.
In front of the animals.##person,sheep,sheep,sheep,bird,person,bird,bird	A gaban dabbobi.
What color is the grass?##person,motorcycle,person,frisbee	Menene launin ciyawan?
What is beside cat's head?##cat,book,book,book,dining table,dining table,chair,bowl	Mene kusa da kan magen?
What color are the cabinets?##knife,cake,dining table,bowl	Wani launi ne da kabet ɗin?
What two colors are on the flag painted on the train?##train	Waɗanne launika ne guda biyu a jikin tutar da akayi fentin ta jikin jirgin ƙasan.
Sand.##horse,horse,horse,horse,person,person,person,person,person,person	ƙasa.
Brown leaves.##fire hydrant	Ganyayyaki ruwan ƙasa.
Walls.##person,tv,person,person,book,person,person,person,book,book	Bango.
A wave.##person,surfboard	Igiyar ruwa.
What color is the sky?##person,surfboard,person,surfboard	Menene launin sama?
What is under the green street signs?##	Mene ne a ƙasan koren alamar titin?
What color is the grass?##person,person,horse	Wani launi ne ciyawar?
Tan.##person,person,person,person,tennis racket,sports ball,tennis racket,frisbee	Ruwa ƙasa
Walking.##horse,person,dog	Tafiya.
How much people standing?##motorcycle,person,person,person,person,cow,car,person,car,frisbee	Mutane nawa ne a tsaye?
Daytime.##stop sign	Da rana.
4##bus,person,person,person,person,handbag,car,car,person,person	4
White.##clock,clock,boat,boat,boat,person,boat,boat,cell phone,car	Fari.
How many fence posts are shown?##airplane,train	Tiraku shingen nawa aka nuna?
Grey.##person,tennis racket,person,tennis racket,sports ball,car,stop sign,stop sign	Ruwan toka.
How many bushes are visible?##zebra,zebra,horse,person	Nawa ne adadin daji da ake iya gani?
Soccer.##person,person,person,person,person,sports ball,bottle	Wasan kwallon ƙafa.
Military.##airplane,airplane,airplane,airplane,airplane,airplane,boat,airplane,airplane	Na soja.
Lights.##person,person,skis,person,person,person,person,skis,person	Haske.
Chicken nuggets.##person,person,person,person,person,person,person,person,person,person	Soyayyiyar kaza.
Walking.##bird,bird,bird	Tafiya.
