image_id,caption
2369539.jpg,a man riding a wave on top of a surfboard 
2323026.jpg,a baseball player is about to catch a ball 
2337140.jpg,a man and woman are using their laptops 
2407702.jpg,a plane is flying in the sky with a sky background 
2390717.jpg,a hand holding an elephant's trunk with its trunk 
2327171.jpg,a vase filled with yellow flowers on a table 
2359736.jpg,a man holding a baseball bat in his right hand 
2408353.jpg,"a bathroom with a shower, sink, and mirror "
2356176.jpg,a large jetliner sitting on top of an airport tarmac 
2367734.jpg,a vintage truck parked in a parking lot 
2365488.jpg,"a hotel room with a bed, chair, and a tv "
2366474.jpg,a brown and white dog eating a banana 
2413703.jpg,a wooden bench in front of a large tree 
2401747.jpg,a table with a plate of food and a candle 
2413033.jpg,a person on a surfboard in the water 
2344724.jpg,"a bathroom with a sink, toilet and a mirror "
2325496.jpg,a small airplane is parked on the runway 
2342184.jpg,a man standing in a kitchen next to a refrigerator 
2384137.jpg,a city street with people walking down it 
2409173.jpg,a surfer is riding a wave in the ocean 
2395555.jpg,a large clock tower with a clock on it 
2320871.jpg,a city street at night with a lot of traffic 
2403156.jpg,a girl holding a donut in her hand 
2327282.jpg,a woman holding a plate of food on a patio 
2333200.jpg,a large jetliner taking off from an airport runway 
2331899.jpg,a bus is parked on the side of the road 
2406621.jpg,a woman is playing tennis on a court 
2350092.jpg,a double decker bus is driving down the street 
2404332.jpg,a bed room with a white bedspread and a white chair 
2322363.jpg,a plane is flying over a cloudy sky 
2408162.jpg,people standing around a table with plates of food 
2382585.jpg,a man riding a skateboard on top of a cement block 
2374166.jpg,a woman holding a tennis racquet on a tennis court 
2327233.jpg,a man laying on the floor next to a dog 
2409585.jpg,bananas are hanging from a tree 
2345690.jpg,a man in a suit and tie posing for a picture 
2406667.jpg,a parking meter on a street next to a parking lot 
2376880.jpg,elephants walking on a dirt field 
2415649.jpg,a plate of food with meat and broccoli 
2412619.jpg,a woman walking down a beach with a pink umbrella 
2384978.jpg,a person holding a fork and knife over a plate of food 
2317193.jpg,a person riding skis on a snow covered slope 
2410302.jpg,a young boy holding a tennis racket 
2403014.jpg,"a bathroom with a toilet, sink, and shower "
2335447.jpg,a man and woman holding tennis racquets 
2323309.jpg,a man in a police uniform walking down a street 
2389508.jpg,a street with a car parked on the side of the road 
2384307.jpg,a bathroom with a toilet and a window 
2412831.jpg,a man with a beard and a hat 
2330727.jpg,a white bird standing on top of a body of water 
2403419.jpg,a clock tower with a sky background 
2398500.jpg,a man on skis standing on a snow covered slope 
2371463.jpg,a man in a blue shirt and a blue shirt is holding a blue surfboard 
2397147.jpg,"a bathroom with a toilet, sink and mirror "
2329688.jpg,a large air plane is parked on the runway 
2375565.jpg,a motorcycle parked in a grassy area 
2414678.jpg,a teddy bear sitting on top of a fire hydrant 
2388642.jpg,a bicycle parked in front of a building with a sign 
2360954.jpg,a beach with a beach umbrella and palm trees 
2367504.jpg,a street sign on a pole in front of a building 
2374577.jpg,a baseball player swinging a bat at a ball 
2387890.jpg,a woman walking down a street next to a yellow fire truck 
2335675.jpg,a sailboat sailing on a body of water 
2415781.jpg,a sandwich and a drink on a table 
2401712.jpg,two giraffes standing next to each other 
2410450.jpg,a woman sitting on a bench looking at her phone 
2372504.jpg,a person jumping in the air on a board 
2331516.jpg,a man is standing on a stone bench 
2354005.jpg,a small airplane is on the runway 
2389040.jpg,a church with a clock on the top of it 
2414996.jpg,a bench in a forest with trees 
2412624.jpg,people standing around a food truck 
2401844.jpg,a large jetliner sitting on top of an airport tarmac 
2333507.jpg,a large jetliner sitting on top of an airport tarmac 
2331192.jpg,a person flying a kite on a beach 
2385326.jpg,a close up picture of a broccoli and a piece of meat 
2355466.jpg,a woman sitting on a chair holding an umbrella 
2356487.jpg,a row of red and white trucks parked on a road 
2316538.jpg,a large truck parked on the side of a road 
2366126.jpg,a clock on the side of a building 
2342770.jpg,a man holding a tennis racquet on a tennis court 
2341265.jpg,"a bathroom with a sink, mirror, and a bath tub "
2349443.jpg,a bed with a blue blanket and a blue comforter 
2376733.jpg,a display case filled with lots of different types of pastries 
2416196.jpg,"a bedroom with a bed, lamp, and a dresser "
2357652.jpg,a herd of sheep walking across a street 
2329181.jpg,a pizza sitting on top of a wooden table 
2381410.jpg,two girls are riding skateboards on a road 
2348966.jpg,a man riding a skateboard down a street 
2417911.jpg,a man wearing a suit and tie 
2375688.jpg,a vase with flowers on a table 
2387097.jpg,a man riding a bike down a street 
2392095.jpg,a large jetliner sitting on top of an airport tarmac 
2400408.jpg,a woman sitting on a bench talking on a cell phone 
2335633.jpg,a man sitting on a bed with a stuffed animal 
2378578.jpg,a woman in a dress standing in front of a refrigerator 
2397677.jpg,giraffes are standing in a field 
2336307.jpg,skiers are standing on a snowy hill 
2372570.jpg,a woman is standing on a surfboard in the water 
2395673.jpg,"a kitchen with a sink, stove, and a window "
2361808.jpg,an elephant with its trunk up in the air 
2393342.jpg,a plate of food with broccoli and meat 
2400018.jpg,a crowd of people standing around a street with a bicycle 
2316996.jpg,a fire hydrant in the middle of a grassy area 
2343352.jpg,a sandwich and french fries on a plate 
2375447.jpg,a dog laying on a bench next to a person 
2317811.jpg,a man riding a motorcycle with a woman on it 
2334728.jpg,a bed with a blanket and a window 
2368613.jpg,a man swinging a tennis racquet on a tennis court 
2354950.jpg,a bird perched on top of a tall building 
2332468.jpg,a book on a wooden bench 
2317789.jpg,a stop sign at night with a street sign 
2336443.jpg,a laptop computer sitting on top of a table 
2390347.jpg,a blender filled with fruit and vegetables next to a jar of fruit 
2396614.jpg,a baseball player is sliding into home plate 
2326945.jpg,a large jetliner sitting on top of an airport runway 
2336559.jpg,a bathroom with a toilet and sink with a mirror 
2407281.jpg,a person on a beach flying a kite 
2365603.jpg,a man standing in a field with a dog 
2401675.jpg,a person on skis standing on a snowy slope 
2406842.jpg,a man sitting at a table with a glass of wine 
2387193.jpg,a street sign on a brick wall 
1160251.jpg,two people riding bicycles on a road 
2360587.jpg,a train on a track near a building 
2399985.jpg,a series of photos of kites flying in the air 
2411579.jpg,a woman is sitting in a kitchen with a dog 
2340608.jpg,a table with chairs and a table with a vase with flowers 
2379899.jpg,a young child holding a doughnut in his hands 
2369631.jpg,a street sign with a bicycle on it 
2346191.jpg,a train is stopped at a train station 
2391201.jpg,zebras are standing in a field 
2357918.jpg,a plane parked in a field with a sign 
2346285.jpg,a fire hydrant with a yellow and blue stripe on it 
2391178.jpg,a man is in the water on a board 
2359707.jpg,a man jumping to catch a frisbee in a park 
2413755.jpg,a car with a large blue roof on top of it 
2347808.jpg,a stop sign with a street sign on it 
2403739.jpg,a giraffe standing in a field with trees 
2355047.jpg,"a kitchen with a stove, sink, microwave and refrigerator "
2410482.jpg,a man riding a bike down a trail 
2363801.jpg,a pile of luggage sitting on the ground 
2395605.jpg,a fire hydrant is in the middle of a dirt road 
2394035.jpg,an elephant standing in a fenced area 
2371038.jpg,a bus is parked on the side of the road 
2397775.jpg,a street sign with a building 
2318725.jpg,a piece of pizza with broccoli and cheese 
2342221.jpg,a bench is sitting on the sidewalk near a fence 
2357311.jpg,a pizza with meat and cheese on a plate 
2361841.jpg,a skateboard is sitting on the floor next to a skateboard 
2332193.jpg,a large bird with a blue and black stripe 
2335581.jpg,a man walking on the beach with a surfboard 
2353534.jpg,a man jumping up to hit a tennis ball 
2413816.jpg,a man riding a motorcycle on a road 
2405328.jpg,a woman sitting in a bus holding a bag 
2335300.jpg,a cell phone in a bowl with a flower in it 
2389153.jpg,a woman riding a horse jumping over a fence 
2358308.jpg,a person in a red jacket and a red t-shirt 
2331901.jpg,elephants walking in a grassy field 
2319228.jpg,a basket of fruit sitting on a table 
2399817.jpg,a man standing next to a white horse 
2360601.jpg,cows are grazing in a field 
2403520.jpg,"a living room with a fireplace, a tv, and a lamp "
2332599.jpg,a man riding a skateboard down a sidewalk 
2376588.jpg,a field with a bunch of trees and a sky background 
2377806.jpg,a man is pulling a horse drawn carriage 
2374774.jpg,"a living room with a couch, coffee table and a fireplace "
2413789.jpg,a zebra walking down a dirt road 
2384917.jpg,a dog wearing a hat on top of a motorcycle 
2398683.jpg,a young man is playing tennis on a court 
2319247.jpg,a man jumping up to catch a frisbee 
2350122.jpg,a woman in a red jacket skiing down a hill 
2407787.jpg,two men are using their laptops while one of them is holding a cell phone 
2373342.jpg,a street with a stop light and a street light 
2410444.jpg,a man is standing in a bathroom with a toilet 
2326059.jpg,a man riding a surfboard on top of a wave 
2335351.jpg,a woman in a red shirt cutting apples 
2357528.jpg,a man in a suit and tie posing for a picture 
2407210.jpg,a blender and a knife on a table 
2407525.jpg,a baby is laying in a blanket with a teddy bear 
2319463.jpg,a man and woman playing frisbee in a park 
2336228.jpg,a baseball game is being played on a field 
2414157.jpg,birds are flying over a body of water 
2396245.jpg,"a bathroom with a toilet, sink, and bathtub "
2350372.jpg,a man riding a skateboard on top of a ramp 
2338276.jpg,a pan of vegetables on a stove top 
2327506.jpg,a stove with a black stove top oven 
2402397.jpg,a man in a suit and hat standing in front of a wall 
2360464.jpg,a horse is standing outside of a building 
2344096.jpg,"a living room with a tv, a chair, and a desk "
2373006.jpg,a bedroom with a large bed and a large window 
2408665.jpg,a man in a black shirt is looking at an oven 
2392923.jpg,a black and white striped tie with a blue and white bow 
2408605.jpg,a blue and white bus is parked on the street 
2373701.jpg,a fire hydrant with a fire hydrant on top of it 
2331882.jpg,a bench is near a body of water 
2338059.jpg,a man pouring a drink into a blender 
2370430.jpg,a man walking down a street with a skateboard 
2367507.jpg,a statue of a man with a gun in his hand 
2376292.jpg,a man riding a skateboard on top of a cement block 
2404940.jpg,two horses walking down a road next to a fence 
2323573.jpg,a man sitting in a bed in a room 
2385650.jpg,a baby elephant and a adult elephant walking through a field 
2378083.jpg,"a living room with a couch, chair, and television "
2407432.jpg,a large group of people sitting at a table 
2363178.jpg,a sandwich sitting on top of a newspaper next to a cup of coffee 
2350695.jpg,a bench on a sidewalk near a body of water 
2327305.jpg,a woman sitting at a table with a plate of food 
2385398.jpg,a person standing on a tennis court holding a racquet 
2364818.jpg,a man cutting a cake with a knife 
2372566.jpg,a baseball player throwing a ball on a field 
2352212.jpg,two giraffes standing in a field 
2315840.jpg,a snowboarder is in mid air after a jump 
2344795.jpg,two small boats are docked in the water 
2340606.jpg,a woman is putting food in an oven 
2362814.jpg,"a kitchen with a stove, sink, and cabinets "
2406192.jpg,a police officer on a horse with a crowd of people 
2324553.jpg,a young boy laying on a bed with a teddy bear 
2399500.jpg,a train is pulling into a station with people waiting 
2352307.jpg,a woman sitting on a red chair with a man sitting on a red chair 
2411511.jpg,a variety of fruits and vegetables on a table 
2347099.jpg,a large bucket filled with lots of green vegetables 
2373543.jpg,a bus is parked on the side of the road 
2354975.jpg,a man and a woman sitting at a table with wine glasses 
2316371.jpg,a train on a track near a mountain 
2329196.jpg,two sheep standing on a grassy hillside 
2392820.jpg,a bathroom with a urinal and a sink 
2376615.jpg,a person on skis on a snowy slope 
2388570.jpg,a train station with a train on the tracks 
2364837.jpg,a woman walking down a street with a sign 
2346675.jpg,"a sign that says ""no parking"" on a pole "
2414093.jpg,a woman walking down a street holding an umbrella 
2318344.jpg,a pair of scissors sitting on top of a table 
2385090.jpg,a woman walking down a street with a rainbow umbrella 
2354144.jpg,a statue of a man on a bus in front of a large building 
2328980.jpg,people sitting on a floor with laptops 
2327173.jpg,a giraffe standing next to a fence in a zoo 
2401817.jpg,a statue of a man in a park bench 
2384751.jpg,"a sandwich with tomatoes, lettuce, and a pickle "
2324493.jpg,a stuffed bear sitting on top of a book shelf 
2365326.jpg,a man in a suit and tie standing next to a wall 
2405968.jpg,two trains are on the tracks near a forest 
2330239.jpg,a laptop computer sitting on a bed with a person 
2329630.jpg,a dog laying on a bed with a cat 
2391017.jpg,a pizza with cheese and tomatoes on a plate 
2316142.jpg,a man is playing a video game on the wii 
2315554.jpg,a giraffe standing in front of a building 
2355473.jpg,"a bedroom with a bed, desk, and a lamp "
2356917.jpg,a hotel room with two beds and two lamps 
2390373.jpg,a man is painting a large pottery bowl 
2324676.jpg,elephants standing on top of a lush green field 
2372814.jpg,a double decker bus driving down a street 
2346047.jpg,a train on a track near a platform 
2406265.jpg,a clock tower with a clock on it's side 
2337243.jpg,a bed with a red bedspread and a painting on the wall 
2318812.jpg,a man riding a wave on top of a surfboard 
2334968.jpg,a girl sitting on the ground with a bunch of colorful kites 
2415060.jpg,a crowd of people standing around a dark colored tent 
2343207.jpg,a baseball player throwing a ball on a field 
2347056.jpg,a horse grazing in a field with mountains 
2353125.jpg,a cat sitting on the hood of a car 
2416248.jpg,a woman laying on a bed with a blanket 
2375222.jpg,a woman sitting at a table with a pizza 
2408691.jpg,a man riding a motorcycle on a beach 
2371948.jpg,a city street with a tall building and a traffic light 
2332540.jpg,a kite flying in the air over a house 
2386431.jpg,a man standing on a stage with a snowboard 
2365146.jpg,a plate of food with a sandwich and fries 
2415829.jpg,a man cooking in a kitchen with a stove top 
2357941.jpg,a woman holding a banana in her hand 
2344408.jpg,a cutting board with a knife and a bunch of carrots 
2337903.jpg,a motorcycle parked in front of a store 
2405243.jpg,a display case filled with lots of different types of donuts 
2391812.jpg,a donut factory filled with donuts and other donuts 
2405944.jpg,a boy is playing soccer on a field 
2371729.jpg,a woman holding a surfboard in front of a wave 
2404497.jpg,a train on a track near a body of water 
2352771.jpg,a man sitting at a table with a laptop 
2389711.jpg,giraffes and zebras in a fenced in area 
2342966.jpg,a pizza sitting on top of a wooden table 
2414175.jpg,a man riding a surfboard on top of a wave 
2394878.jpg,two double decker buses parked next to each other 
2387563.jpg,a train on a track near a forest 
2379715.jpg,a street with a stop sign and a building 
2381658.jpg,a white bird standing on a beach 
2384568.jpg,giraffes standing next to each other 
2395586.jpg,a street with a street light and a building 
2349770.jpg,a pizza sitting on top of a pan on a table 
2412250.jpg,a bird is standing on the beach near the water 
2343997.jpg,a man cutting a cake on a table 
2370644.jpg,a row of sailboats docked at a pier 
2374948.jpg,a sheep standing on top of a rock 
2361117.jpg,a man in a suit and tie holding a microphone 
2401049.jpg,a subway train with graffiti on the side of it 
2388192.jpg,a double decker bus driving down a street 
2331668.jpg,a man standing next to a street sign 
2329065.jpg,two soccer players are playing soccer on a field 
2335797.jpg,a man holding a baby while holding a remote 
2391159.jpg,a wooden bench with a wooden plaque on it 
2335594.jpg,a red vase sitting on top of a counter 
2402789.jpg,"a room with a bed, a desk and a bunk bed "
2394557.jpg,a street sign with a street name on it 
2387575.jpg,a boat is docked in the water 
2415168.jpg,a man is sitting on a train with a window 
2383836.jpg,two people sitting on a bench with a frisbee 
2376252.jpg,a street sign with a building 
2330633.jpg,a clock tower with a clock on it's side 
2405971.jpg,"a sandwich with meat, lettuce, and pickles "
2408681.jpg,a herd of sheep grazing in a field 
2412829.jpg,a blue and white bus parked on the side of a road 
2381745.jpg,a man sitting on a bench next to a bus 
2402686.jpg,a herd of sheep walking down a street 
2396956.jpg,a motorcycle parked in a parking lot with people 
2358093.jpg,"a living room with a couch, chair, and a television "
2323565.jpg,a person holding a surfboard on a beach 
2400571.jpg,a large jetliner sitting on top of an airport tarmac 
2331913.jpg,a herd of elephants walking across a grassy field 
2412963.jpg,a man riding a wave on top of a surfboard 
2334505.jpg,a white plate topped with a meat and vegetables 
2409657.jpg,a number of umbrellas hanging from a tree 
2354131.jpg,a woman sitting on a bench reading a book 
2372238.jpg,a garbage truck is parked on the side of the road 
2392882.jpg,a woman standing in front of a bunch of bananas 
2330747.jpg,a man and a woman playing a video game 
2357558.jpg,a cat sitting on a shelf in front of a window 
2368181.jpg,a woman flying a kite over a mountain 
2377502.jpg,a stove top oven sitting on top of a bed 
2400206.jpg,a boat is traveling down the water with people on it 
2374167.jpg,a man and a woman in wedding attire 
2412631.jpg,a double decker bus driving down a street 
2360812.jpg,a man riding an elephant through a river 
2412230.jpg,a baseball player swinging a bat at a ball 
2415254.jpg,a person laying in a bed with a blanket 
2342072.jpg,a white keyboard with a black mouse 
2360365.jpg,two men are playing frisbee in the water 
2385445.jpg,a toilet with a white lid and a black and white toilet paper 
2358891.jpg,a pot of beans and vegetables on a wooden table 
2372419.jpg,a man swinging a tennis racket on a tennis court 
2389397.jpg,a small boat is docked in a body of water 
2381295.jpg,a train station with people waiting for the train 
2384121.jpg,a flagpole with a flag on top of it 
2396929.jpg,"a bathroom with a sink, mirror, and bathtub "
2363277.jpg,a herd of zebra standing on top of a grass covered field 
2361847.jpg,a person flying a kite in a field 
2399970.jpg,a white surfboard sitting on top of a sandy beach 
2344678.jpg,a beach with people flying kites on it 
2391234.jpg,a harbor with boats docked and a dock 
2341997.jpg,a table with a table cloth and a vase on it 
2409560.jpg,a baseball player standing on a field with a glove 
2390814.jpg,people are waiting in line at an airport 
2377280.jpg,two people on skis standing on a beach 
2366105.jpg,a man walking on the beach with a surfboard 
2367958.jpg,a man riding a wave on top of a surfboard 
2370935.jpg,a small bird sitting on a wooden bench 
2342498.jpg,a woman catching a frisbee in a game of frisbee 
2383602.jpg,a man walking on a beach with a surfboard 
2383835.jpg,a man and woman playing a video game 
2405096.jpg,people standing around a field with a frisbee 
2323645.jpg,a man in a suit and tie sitting at a table 
2387640.jpg,a man holding a tennis racquet on a tennis court 
2330821.jpg,a bottle of beer sitting on a motorcycle 
2378395.jpg,cows are grazing in a field 
2333852.jpg,a train is going down the tracks near a bridge 
2417148.jpg,a man is playing a video game in front of a large audience 
2326120.jpg,two men standing on a tennis court holding tennis racquets 
2389373.jpg,a young girl is skiing down a hill 
2412019.jpg,a man sitting on a bench with a graffiti covered wall 
2338948.jpg,a large group of people sitting at a table 
2391879.jpg,a box of donuts with various toppings 
2361066.jpg,a tennis player is on the court with a racket 
2371577.jpg,a woman brushing her teeth in a bathroom 
2382684.jpg,a giraffe standing next to a pole with a city 
2319068.jpg,a man in a red jacket skiing down a hill 
2362148.jpg,a yellow fire hydrant sitting on the side of a road 
2412922.jpg,a little boy eating a piece of cake 
2388104.jpg,a skier is going down a hill in the snow 
2408253.jpg,a woman is walking down the street while talking on her cell phone 
2325571.jpg,a man taking a picture of himself in a mirror 
2373435.jpg,a train is going down the tracks in a city 
2410713.jpg,a motorcycle parked on a beach near the ocean 
2338853.jpg,a man is preparing food on a table 
2333753.jpg,a woman holding a hose to a sheep 
2357217.jpg,a large jetliner sitting on top of an airport tarmac 
2409776.jpg,a doughnut with sprinkles and a bottle of milk 
2340549.jpg,a woman swinging a tennis racquet on a tennis court 
2342284.jpg,a dog looking out the window of a car 
2350688.jpg,a wooden table with a baseball bat and a baseball glove 
2334046.jpg,a baseball player holding a bat on a field 
2411204.jpg,a young woman is looking at her cell phone 
2375473.jpg,a man riding a skateboard down a street 
2332725.jpg,a man holding a box with a guitar in it 
2412746.jpg,a collage of photos of a man holding a tennis racquet 
2367267.jpg,a remote control sitting on top of a table 
2378932.jpg,a table topped with plates of food 
2349609.jpg,a person holding a pair of scissors in their hand 
2408325.jpg,"a bathroom with a sink, toilet and shower "
2332134.jpg,a bathroom with a toilet and a sink 
2410155.jpg,a baseball player swinging a bat at a ball 
2391207.jpg,a clock tower with a clock on it's side 
2335297.jpg,a boy is flying a kite in a park 
2356149.jpg,a hot dog with mustard and ketchup on a paper towel 
2330143.jpg,horses standing in a field 
